image_name,overall_quality,quality_pattern,final_label,processing_time_sec,recommendations
OD_11592159.jpg,Error,,BAD,0,
OD_11592210.jpg,Error,,BAD,0,
OD_11592224.jpg,Error,,BAD,0,
OD_11592300.jpg,Error,,BAD,0,
OD_11592310.jpg,Error,,BAD,0,
OD_11592343.jpg,Error,,BAD,0,
OD_11592372.jpg,Error,,BAD,0,
OD_11592381.jpg,Error,,BAD,0,
OD_11592409.jpg,Error,,BAD,0,
OD_11592448.jpg,Error,,BAD,0,
OD_11592452.jpg,Error,,BAD,0,
OD_11592458.jpg,Error,,BAD,0,
OD_11592498.jpg,Error,,BAD,0,
OD_11592540.jpg,Error,,BAD,0,
OD_11592568.jpg,Error,,BAD,0,
OD_11592592.jpg,Error,,BAD,0,
OD_11592619.jpg,Error,,BAD,0,
OD_11592629.jpg,Error,,BAD,0,
OD_11592726.jpg,Error,,BAD,0,
OD_11592746.jpg,Error,,BAD,0,
OD_11592771.jpg,Error,,BAD,0,
OD_11592822.jpg,Error,,BAD,0,
OD_11592838.jpg,Error,,BAD,0,
OD_11593065.jpg,Error,,BAD,0,
OD_11593068.jpg,Error,,BAD,0,
OD_11593069.jpg,Error,,BAD,0,
OD_11593090.jpg,Error,,BAD,0,
OD_11593099.jpg,Error,,BAD,0,
OD_11593107.jpg,Error,,BAD,0,
OD_11593110.jpg,Error,,BAD,0,
OD_11593116.jpg,Error,,BAD,0,
OD_11593117.jpg,Error,,BAD,0,
OD_11593121.jpg,Error,,BAD,0,
OD_11593206.jpg,Error,,BAD,0,
OD_11593374.jpg,Error,,BAD,0,
OD_11593382.jpg,Error,,BAD,0,
OD_11593402.jpg,Error,,BAD,0,
OD_11593423.jpg,Error,,BAD,0,
OD_11593425.jpg,Error,,BAD,0,
OD_11593431.jpg,Error,,BAD,0,
OD_11593483.jpg,Error,,BAD,0,
OD_11593517.jpg,Error,,BAD,0,
OD_11593533.jpg,Error,,BAD,0,
OD_11593615.jpg,Error,,BAD,0,
OD_11593627.jpg,Error,,BAD,0,
OD_11593677.jpg,Error,,BAD,0,
OD_11593705.jpg,Error,,BAD,0,
OD_11593713.jpg,Error,,BAD,0,
OD_11593753.jpg,Error,,BAD,0,
